Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,Variables,mse,mseref
32,20,0.5,300,0.001,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,29.79024704701505,0.10651505376344085
8,20,0.0,300,0.01,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,1.1297157384792134,0.10651505376344085
16,20,0.0,300,0.01,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,0.891828571856846,0.10651505376344085
32,20,0.0,300,0.01,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,0.9808902489523454,0.10651505376344085
8,20,0.25,300,0.01,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,9.204421831133002,0.10651505376344085
16,20,0.25,300,0.01,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,9.368090498328728,0.10651505376344085
32,20,0.25,300,0.01,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,9.344959967551876,0.10651505376344085
8,20,0.5,300,0.01,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,23.098786127536247,0.10651505376344085
16,20,0.5,300,0.01,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,21.839984029424947,0.10651505376344085
32,20,0.5,300,0.01,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,22.57253943431653,0.10651505376344085
8,20,0.0,300,0.1,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,1.0206258623573026,0.10651505376344085
16,20,0.0,300,0.1,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,1.4092684724180289,0.10651505376344085
32,20,0.0,300,0.1,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,1.3262033800090993,0.10651505376344085
8,20,0.25,300,0.1,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,16.129674697810504,0.10651505376344085
16,20,0.25,300,0.1,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,10.579828899136697,0.10651505376344085
32,20,0.25,300,0.1,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,8.219995038636858,0.10651505376344085
8,20,0.5,300,0.1,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,26.88586350821103,0.10651505376344085
16,20,0.5,300,0.1,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,20.834554235809613,0.10651505376344085
32,20,0.5,300,0.1,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,25.139230321227675,0.10651505376344085
0,20,0.0,300,0.0001,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,14.652689969716063,0.10651505376344085
0,20,0.25,300,0.0001,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,21.86506401756403,0.10651505376344085
0,20,0.5,300,0.0001,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,21.673943928751903,0.10651505376344085
0,20,0.0,300,0.001,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,2.489645497384842,0.10651505376344085
0,20,0.25,300,0.001,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,8.855150903845564,0.10651505376344085
0,20,0.5,300,0.001,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,19.711264434521578,0.10651505376344085
0,20,0.0,300,0.01,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,1.2973084346997645,0.10651505376344085
0,20,0.25,300,0.01,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,5.960957280865046,0.10651505376344085
0,20,0.5,300,0.01,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,20.202777950222604,0.10651505376344085
0,20,0.0,300,0.1,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,1.7416958397689202,0.10651505376344085
0,20,0.25,300,0.1,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,6.864030520860531,0.10651505376344085
0,20,0.5,300,0.1,1,ffnn_regression,704,6,ElectricityBaseFM_TTFDA_StorageUK_NBPFM,18.788166978717086,0.10651505376344085
