Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,93,0.0001,20,lstm,0.027344798304325832,0.0028649432245198983,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,94,0.0001,20,lstm,0.02686634946299056,0.002845026986698236,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,95,0.0001,20,lstm,0.0263700781687994,0.0028436567085455317,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,96,0.0001,20,lstm,0.026424156190196592,0.0028259136008670998,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,97,0.0001,20,lstm,0.026465810625062834,0.002815396350600717,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,98,0.0001,20,lstm,0.026149948533143726,0.0027974025488031844,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,99,0.0001,20,lstm,0.02550849247403363,0.002783840187884416,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,100,0.0001,20,lstm,0.02542077221091516,0.0027807849563212523,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,101,0.0001,20,lstm,0.025625321279299916,0.0027728222573294332,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,102,0.0001,20,lstm,0.02517550270028052,0.002744080225401936,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,103,0.0001,20,lstm,0.024639947030703307,0.002731118594713102,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,104,0.0001,20,lstm,0.0250602722110387,0.0027375136339759104,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,105,0.0001,20,lstm,0.0246678301000527,0.002720385752212493,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,106,0.0001,20,lstm,0.024787237574797002,0.002706470742458519,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,107,0.0001,20,lstm,0.024928295793342253,0.002706526309537923,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,108,0.0001,20,lstm,0.02463085725352729,0.002694294284451395,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,109,0.0001,20,lstm,0.024389740350025314,0.0026815342675602857,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,110,0.0001,20,lstm,0.02449100903831222,0.0026767373099122497,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,111,0.0001,20,lstm,0.024671461738605974,0.002655361135224736,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,112,0.0001,20,lstm,0.02379990120603633,0.002650889781602222,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,113,0.0001,20,lstm,0.024071372310651006,0.0026461196680893045,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
