Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,222,0.0001,20,lstm,0.504136661608373,0.3114376799954522,TTFDA_EURGBPFX
8,20,0.0,300,223,0.0001,20,lstm,0.5020005005181477,0.3117150047453501,TTFDA_EURGBPFX
8,20,0.0,300,224,0.0001,20,lstm,0.5035160876890664,0.3113898541578042,TTFDA_EURGBPFX
8,20,0.0,300,225,0.0001,20,lstm,0.5024226517767034,0.3114648819450409,TTFDA_EURGBPFX
8,20,0.0,300,226,0.0001,20,lstm,0.5016215682350179,0.3114159246606211,TTFDA_EURGBPFX
8,20,0.0,300,227,0.0001,20,lstm,0.49779065762476254,0.3108836246994875,TTFDA_EURGBPFX
8,20,0.0,300,228,0.0001,20,lstm,0.4984712416446337,0.3110781591986456,TTFDA_EURGBPFX
8,20,0.0,300,229,0.0001,20,lstm,0.49698691566785175,0.31107565824703504,TTFDA_EURGBPFX
8,20,0.0,300,230,0.0001,20,lstm,0.49714513459513265,0.3106124920229758,TTFDA_EURGBPFX
8,20,0.0,300,231,0.0001,20,lstm,0.4961928477691066,0.310963590138702,TTFDA_EURGBPFX
8,20,0.0,300,232,0.0001,20,lstm,0.49799852473761447,0.31062140467987265,TTFDA_EURGBPFX
8,20,0.0,300,233,0.0001,20,lstm,0.4972400364856566,0.3101411100917606,TTFDA_EURGBPFX
8,20,0.0,300,234,0.0001,20,lstm,0.4971731032735558,0.3100016444761266,TTFDA_EURGBPFX
8,20,0.0,300,235,0.0001,20,lstm,0.4997734014065035,0.3099027672602284,TTFDA_EURGBPFX
8,20,0.0,300,236,0.0001,20,lstm,0.495448473800895,0.3097878034396838,TTFDA_EURGBPFX
8,20,0.0,300,237,0.0001,20,lstm,0.4976835745156452,0.31006624381388387,TTFDA_EURGBPFX
8,20,0.0,300,238,0.0001,20,lstm,0.49895198635196175,0.3096216766023508,TTFDA_EURGBPFX
8,20,0.0,300,239,0.0001,20,lstm,0.49710366738739836,0.3098825952939449,TTFDA_EURGBPFX
8,20,0.0,300,240,0.0001,20,lstm,0.49775451205430493,0.3095834991464051,TTFDA_EURGBPFX
8,20,0.0,300,241,0.0001,20,lstm,0.4953070746794824,0.30963633742223506,TTFDA_EURGBPFX
